epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2556.09,1.14079,1.51143,1.34326,0.36729,0.33544,0.32823,0.23563,1.22537,15.9998,1.22976,0.00562891,0.00562891,0.00562891
43,2706.89,1.13883,1.51339,1.34318,0.36943,0.31463,0.30843,0.23152,1.24423,17.1608,1.25116,0.00561604,0.00561604,0.00561604
44,2868.93,1.13562,1.50486,1.34052,0.377,0.31829,0.31355,0.23284,1.22515,14.1797,1.23167,0.00560289,0.00560289,0.00560289
45,3018.92,1.13489,1.49214,1.3364,0.36726,0.32902,0.31177,0.22721,1.21626,15.5914,1.22776,0.00558945,0.00558945,0.00558945
46,3183.11,1.12979,1.48022,1.33696,0.34136,0.35709,0.32933,0.2498,1.22001,14.5749,1.23193,0.00557572,0.00557572,0.00557572
47,3330.45,1.13116,1.48653,1.33841,0.35046,0.36362,0.32191,0.24071,1.2086,15.4447,1.21976,0.00556171,0.00556171,0.00556171
48,3467.83,1.13135,1.4834,1.33745,0.38148,0.33658,0.33055,0.24391,1.21962,15.8983,1.23225,0.00554742,0.00554742,0.00554742
49,3600.11,1.12287,1.45931,1.33038,0.34715,0.37348,0.32301,0.24181,1.21406,15.0389,1.22101,0.00553284,0.00553284,0.00553284
50,3732.55,1.1119,1.43952,1.3223,0.39602,0.32558,0.3208,0.23337,1.21089,14.4017,1.2237,0.00551798,0.00551798,0.00551798
51,3868.42,1.12488,1.45994,1.33371,0.37119,0.36384,0.32248,0.24191,1.22019,14.9925,1.23414,0.00550284,0.00550284,0.00550284
52,4010.19,1.12605,1.44706,1.3281,0.34909,0.38321,0.32741,0.24607,1.21206,15.4504,1.22751,0.00548743,0.00548743,0.00548743
53,4153.2,1.10584,1.4403,1.31874,0.34224,0.33533,0.31915,0.23873,1.20721,15.5716,1.22504,0.00547174,0.00547174,0.00547174
54,4292.03,1.10915,1.43788,1.32734,0.36315,0.35702,0.32821,0.24303,1.20699,13.8957,1.22453,0.00545578,0.00545578,0.00545578
55,4428.16,1.11183,1.44793,1.32348,0.37616,0.34244,0.3173,0.23533,1.2016,14.8108,1.21952,0.00543954,0.00543954,0.00543954
56,4543.57,1.10715,1.43472,1.31834,0.37927,0.34383,0.32744,0.24451,1.19543,15.9777,1.21465,0.00542304,0.00542304,0.00542304
57,4638.14,1.11188,1.43419,1.32279,0.37206,0.33556,0.32428,0.24433,1.201,14.869,1.21075,0.00540627,0.00540627,0.00540627
58,4729.88,1.10333,1.42556,1.31994,0.39391,0.33159,0.33119,0.24679,1.19267,15.231,1.20666,0.00538923,0.00538923,0.00538923
59,4822.61,1.0963,1.40144,1.31475,0.35483,0.36153,0.33195,0.25152,1.19276,15.5191,1.20943,0.00537192,0.00537192,0.00537192
60,4913.17,1.10163,1.41496,1.31503,0.37154,0.35464,0.32309,0.24295,1.20002,15.3847,1.21646,0.00535436,0.00535436,0.00535436
61,4999.94,1.10117,1.39418,1.31092,0.43945,0.31896,0.33148,0.24801,1.2069,15.9451,1.21617,0.00533653,0.00533653,0.00533653
62,5086.96,1.09841,1.39005,1.31065,0.35364,0.3751,0.34099,0.24903,1.19478,15.6103,1.2105,0.00531844,0.00531844,0.00531844
63,5173.62,1.08012,1.3564,1.29625,0.40522,0.3466,0.3428,0.24941,1.18933,15.5523,1.20496,0.0053001,0.0053001,0.0053001
64,5261.19,1.09544,1.39652,1.30988,0.40315,0.36988,0.34342,0.25279,1.18553,15.1611,1.20188,0.0052815,0.0052815,0.0052815
65,5348.2,1.08158,1.3665,1.29957,0.36784,0.37283,0.33893,0.25367,1.18519,15.9031,1.20048,0.00526265,0.00526265,0.00526265
66,5435.17,1.07991,1.37014,1.29589,0.39332,0.36669,0.3437,0.25974,1.17716,14.8125,1.19602,0.00524355,0.00524355,0.00524355
67,5522.12,1.08722,1.35929,1.29834,0.42636,0.33791,0.34004,0.25896,1.18932,14.839,1.20325,0.0052242,0.0052242,0.0052242
68,5609.46,1.08101,1.36352,1.29668,0.40079,0.35195,0.33571,0.25271,1.18246,14.947,1.19713,0.0052046,0.0052046,0.0052046
69,5696.15,1.08154,1.35217,1.29274,0.39014,0.35538,0.33352,0.25385,1.1888,14.9044,1.20753,0.00518476,0.00518476,0.00518476
70,5782.97,1.07227,1.33249,1.28698,0.40295,0.36445,0.34076,0.25775,1.19525,14.9018,1.2089,0.00516468,0.00516468,0.00516468
71,5870.16,1.06556,1.33732,1.28574,0.40098,0.36139,0.33927,0.25463,1.18807,14.9692,1.20047,0.00514435,0.00514435,0.00514435
72,5957.2,1.07468,1.33031,1.29356,0.38991,0.36278,0.34036,0.24809,1.18564,15.0685,1.20427,0.00512379,0.00512379,0.00512379
73,6043.89,1.07634,1.33263,1.29404,0.38159,0.37734,0.34214,0.25351,1.18168,15.1804,1.19659,0.005103,0.005103,0.005103
74,6130.32,1.06532,1.32387,1.28746,0.39341,0.35262,0.33996,0.25441,1.18066,15.4497,1.19985,0.00508197,0.00508197,0.00508197
75,6216.97,1.05949,1.31293,1.27995,0.39847,0.35056,0.33696,0.25639,1.18021,15.2351,1.1987,0.00506071,0.00506071,0.00506071
76,6303.63,1.0627,1.31768,1.28316,0.41893,0.35778,0.35276,0.26401,1.17804,15.117,1.1996,0.00503922,0.00503922,0.00503922
77,6390.07,1.05388,1.30046,1.27732,0.43302,0.36349,0.34771,0.25921,1.1807,15.2325,1.19722,0.0050175,0.0050175,0.0050175
78,6476.8,1.05429,1.28973,1.27436,0.44583,0.36059,0.35544,0.26355,1.17595,15.1833,1.19542,0.00499556,0.00499556,0.00499556
79,6563.58,1.04571,1.29754,1.27327,0.42176,0.36463,0.35548,0.27065,1.18072,15.8081,1.20087,0.0049734,0.0049734,0.0049734
80,6650.96,1.06134,1.3053,1.28257,0.44341,0.35315,0.35248,0.26853,1.1791,15.6773,1.20166,0.00495102,0.00495102,0.00495102
81,6737.88,1.05454,1.2904,1.27459,0.41109,0.365,0.35654,0.27003,1.17644,15.8407,1.19654,0.00492843,0.00492843,0.00492843
82,6824.09,1.05303,1.28655,1.27445,0.40687,0.35615,0.35542,0.26902,1.17865,15.4546,1.20066,0.00490562,0.00490562,0.00490562
83,6910.61,1.03503,1.27022,1.2637,0.43056,0.34173,0.34774,0.26502,1.18181,15.7434,1.20246,0.0048826,0.0048826,0.0048826
84,6996.93,1.04312,1.26988,1.26492,0.38526,0.37658,0.35033,0.26684,1.17902,15.7398,1.20352,0.00485936,0.00485936,0.00485936
